,Indicator,Country,Date,value,Year,Month
158,Cumulative number of confirmed Ebola cases,Senegal,2015-03-05,1.0,2015,3
159,Cumulative number of probable Ebola cases,Senegal,2015-03-05,0.0,2015,3
160,Cumulative number of suspected Ebola cases,Senegal,2015-03-05,0.0,2015,3
161,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-05,1.0,2015,3
162,Cumulative number of confirmed Ebola cases,Spain,2015-03-05,1.0,2015,3
163,Cumulative number of probable Ebola cases,Spain,2015-03-05,0.0,2015,3
164,Cumulative number of suspected Ebola cases,Spain,2015-03-05,0.0,2015,3
165,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-05,1.0,2015,3
166,Cumulative number of confirmed Ebola cases,United States of America,2015-03-05,4.0,2015,3
167,Cumulative number of probable Ebola cases,United States of America,2015-03-05,0.0,2015,3
168,Cumulative number of suspected Ebola cases,United States of America,2015-03-05,0.0,2015,3
169,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-05,4.0,2015,3
170,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-05,7.0,2015,3
171,Cumulative number of probable Ebola deaths,Nigeria,2015-03-05,1.0,2015,3
172,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-05,0.0,2015,3
173,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-05,8.0,2015,3
174,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-05,0.0,2015,3
175,Cumulative number of probable Ebola deaths,Senegal,2015-03-05,0.0,2015,3
176,Cumulative number of suspected Ebola deaths,Senegal,2015-03-05,0.0,2015,3
177,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-05,0.0,2015,3
178,Cumulative number of confirmed Ebola deaths,Spain,2015-03-05,0.0,2015,3
179,Cumulative number of probable Ebola deaths,Spain,2015-03-05,0.0,2015,3
180,Cumulative number of suspected Ebola deaths,Spain,2015-03-05,0.0,2015,3
181,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-05,0.0,2015,3
182,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-05,1.0,2015,3
183,Cumulative number of probable Ebola deaths,United States of America,2015-03-05,0.0,2015,3
184,Cumulative number of suspected Ebola deaths,United States of America,2015-03-05,0.0,2015,3
185,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-05,1.0,2015,3
186,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-04,0.0,2015,3
187,Cumulative number of probable Ebola cases,United Kingdom,2015-03-04,0.0,2015,3
188,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-04,0.0,2015,3
189,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-04,1.0,2015,3
190,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-04,1.0,2015,3
191,Cumulative number of confirmed Ebola cases,Mali,2015-03-04,7.0,2015,3
192,Cumulative number of probable Ebola cases,Mali,2015-03-04,1.0,2015,3
193,Cumulative number of suspected Ebola cases,Mali,2015-03-04,0.0,2015,3
194,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-04,6.0,2015,3
195,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-04,8.0,2015,3
196,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-04,19.0,2015,3
197,Cumulative number of probable Ebola cases,Nigeria,2015-03-04,1.0,2015,3
