IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,NER,Niger,Year,2020,true,,,,,,,,,,,,,4377938,,,,,,"4,377,938",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,COM,Comoros,Year,2020,true,,,,,,,,,,,,,4546,,,,,,"4,546",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,BDI,Burundi,Year,2020,true,,,,,,,,,,,,,4732339,,,,,,"4,732,339",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2020,true,,,,,,,,,,,,,4980640,,,,,,"4,980,640",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2020,true,,,,,,,,,,,,,447381,,,,,,"447,381",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,SEN,Senegal,Year,2020,true,,,,,,,,,,,,,452984,,,,,,"452,984",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,GHA,Ghana,Year,2020,true,,,,,,,,,,,,,5879506,,,,,,"5,879,506",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2020,true,,,,,,,,,,,,,507,,,,,,507,,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,true,,,,,,,,,,,,,54,,,,,,54,,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2020,true,,,,,,,,,,,,,58836,,,,,,"58,836",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2020,true,,,,,,,,,,,,,6015706,,,,,,"6,015,706",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2020,true,,,,,,,,,,,,,6120,,,,,,"6,120",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,,,,,,,,,,,,,6130,,,,,,"6,130",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,true,,,,,,,,,,,,,6875369,,,,,,"6,875,369",,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,true,,,,,,,,,,,,,674,,,,,,674,,,EN,2022-02-09T23:00:00.000Z
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),numeric,AFR,Africa,Country,AGO,Angola,Year,2020,true,,,,,,,,,,,,,7156110,,,,,,"7,156,110",,,EN,2022-02-09T23:00:00.000Z
